기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
149,LUPPITER(ZABBIX),민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,DB,　,p-mon-mk1-d01,Running,10.2.14.54,-,p-mon-mk1-d01,p-mon-mk1-d01,centos-7.9-64bit,4,16,PostgreSQL 13.5,-,-,-,-,-,SSD,34.4 GB,SSD,214.7 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
150,LUPPITER(ZABBIX),민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode04,10.2.7.4,WEB,　,p-mon-mk1-w01,Running,10.2.14.52,-,p-mon-mk1-w01,p-mon-mk1-w01,centos-7.9-64bit,16,32,-,Apache 2.4.41,-,-,-,-,SSD,34.4 GB,SSD,214.7 GB,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
151,LUPPITER(ZABBIX),민간(EPC),개발(DEV),사용,목동,EPC_M1_MGMT,mgmt-1-c-pod2,cnode03,10.2.7.3,WEB,　,p-mon-mk1-w02,Running,10.2.14.55,-,p-mon-mk1-w02,p-mon-mk1-w02,Windows 2016 Standard,4,4,-,-,-,-,-,-,-,49.5 GB,-,-,-,-,　,　,10.0.14393 N/A 빌드 14393,-,-,Python 3.12.2,-,-,O,O,　,　
152,GAIA,공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-clb-prd-ant-e01,Stop,172.27.1.31,-,-,-,centos-7.9-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
153,GAIA,공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-clb-prd-ant-e02,Stop,172.27.1.28,-,-,-,centos-7.9-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
154,GAIA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-gaia-prd-ansible-p01,Running,172.27.1.41,10.48.219.82,ys-clb-prd-and-e01,ys-gaia-prd-ansible-p01,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,-,O,　,O,　
155,GAIA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-gaia-prd-ansible-p02,Running,172.27.1.59,10.48.219.83,ys-clb-prd-and-e02,ys-gaia-prd-ansible-p02,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,-,O,　,O,　
156,HERA,공공(EPC),개발(DEV),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-a01,Running,10.48.220.162,-,ys-hera-gapigw-a01,ys-hera-gapigw-a01,rocky-8.10-64bit,4,8,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,HDD,50 GB,HDD,130 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
157,HERA,공공(EPC),개발(DEV),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-b01,Running,10.48.220.163,-,ys-hera-gapigw-b01,ys-hera-gapigw-b01,rocky-8.10-64bit,16,32,-,-,"JAR_FILE: batch_runner-0.0.1-SNAPSHOT.jar
Spring Boot Version: 3.3.5",-,-,-,HDD,50 GB,HDD,"130 GB
20 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
158,HERA,공공(EPC),개발(DEV),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-hera-gapigw-d01,Running,10.48.220.164,-,ys-hera-gapigw-d01,ys-hera-gapigw-d01,rocky-8.10-64bit,8,16,"Mariadb 11.4.2
Mariadb 11.4.4",-,-,-,-,-,HDD,50 GB,HDD,20 GB,ISCSI,"110 GB
70 GB",　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
159,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-prd-a01,Running,10.48.220.194,-,ys-hera-gapigw-prd-a01,ys-hera-gapigw-prd-a01,rocky-8.10-64bit,16,16,-,-,-,-,-,-,HDD,50 GB,HDD,50 GB,ISCSI,400 GB,　,　,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
160,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-prd-a02,Running,10.48.220.195,-,ys-hera-gapigw-prd-a02,ys-hera-gapigw-prd-a02,rocky-8.10-64bit,16,16,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,10.48.220.196,HDD,50 GB,HDD,50 GB,ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
161,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-prd-b01,Running,10.48.220.197,-,ys-hera-gapigw-prd-b01,ys-hera-gapigw-prd-b01,rocky-8.10-64bit,32,32,-,-,-,-,-,10.48.220.199,HDD,50 GB,HDD,"50 GB
20 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
162,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-prd-b02,Running,10.48.220.198,-,ys-hera-gapigw-prd-b02,ys-hera-gapigw-prd-b02,rocky-8.10-64bit,32,32,-,-,-,-,-,-,HDD,50 GB,HDD,"50 GB
20 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
163,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-hera-gapigw-prd-d01,Running,10.48.220.200,-,ys-hera-gapigw-prd-d01,ys-hera-gapigw-prd-d01,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,-,-,10.48.220.202,HDD,50 GB,HDD,50 GB,ISCSI,"440 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
164,HERA,공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-hera-gapigw-prd-d02,Running,10.48.220.201,-,ys-hera-gapigw-prd-d02,ys-hera-gapigw-prd-d02,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,-,-,-,HDD,50 GB,HDD,50 GB,ISCSI,"440 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
165,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-stg-a01,Running,10.48.220.165,-,ys-hera-gapigw-stg-a01,ys-hera-gapigw-stg-a01,rocky-8.10-64bit,8,16,-,-,-,-,-,10.48.220.167,HDD,50 GB,HDD,50 GB,ISCSI,200 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
166,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-stg-a02,Running,10.48.220.166,-,ys-hera-gapigw-stg-a02,ys-hera-gapigw-stg-a02,rocky-8.10-64bit,8,16,-,-,-,-,-,-,HDD,50 GB,HDD,50 GB,ISCSI,200 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
167,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-stg-b01,Running,10.48.220.168,-,접근제어 삭제,ys-hera-gapigw-stg-b01,rocky-8.10-64bit,16,32,-,-,-,-,-,-,-,-,-,-,-,-,　,　,　,-,-,-,-,-,X,　,　,　
168,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-hera-gapigw-stg-b02,Running,10.48.220.169,-,ys-hera-gapigw-stg-b02,ys-hera-gapigw-stg-b02,rocky-8.10-64bit,16,32,-,-,-,-,-,-,HDD,50 GB,HDD,"50 GB
20 GB",ISCSI,200 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
169,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-hera-gapigw-stg-d01,Running,10.48.220.171,-,ys-hera-gapigw-stg-d01,ys-hera-gapigw-stg-d01,rocky-8.10-64bit,16,32,-,-,-,-,-,10.48.220.173,HDD,50 GB,HDD,20 GB,ISCSI,"300 GB
200 GB",　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
170,HERA,공공(EPC),스테이징(STG),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-hera-gapigw-stg-d02,Running,10.48.220.172,-,ys-hera-gapigw-stg-d02,ys-hera-gapigw-stg-d02,rocky-8.10-64bit,16,32,-,-,-,-,-,-,HDD,50 GB,HDD,20 GB,ISCSI,"300 GB
200 GB",　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
171,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-a01-rocky,Running,172.27.1.20,10.48.219.72,ys-jpt-prd-gzab-a01,ys-jpt-prd-gzab-a01,rocky-8.10-64bit,16,16,-,-,zabbix_server 5.0.25,10.48.222.23,-,172.27.1.102,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
172,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-a02-rocky,Running,172.27.1.89,10.48.219.73,ys-jpt-prd-gzab-a02,ys-jpt-prd-gzab-a02,rocky-8.10-64bit,16,16,-,-,-,10.48.222.24,-,-,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
173,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-d01-new,Running,172.27.1.85,10.48.219.74,ys-jpt-prd-gzab-d01,ys-jpt-prd-gzab-d01,rocky-8.10-64bit,16,32,PostgreSQL 16.9,-,-,10.48.222.20,-,172.27.1.103,HDD,50 GB,HDD,20 GB,ISCSI,2.3 TB,HA,A-S,4.18.0-553.69.1.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
174,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-d01-rocky,Stop,172.27.1.49,10.48.219.90,ys-jpt-prd-gzab-d01-new,ys-jpt-prd-gzab-d01,rocky-8.10-64bit,16,32,PostgreSQL 13.5,-,-,10.48.222.26,-,-,HDD,50 GB,HDD,20 GB,ISCSI,2.3 TB,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
175,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-d02-new,Running,172.27.1.60,10.48.219.75,ys-jpt-prd-gzab-d02,ys-jpt-prd-gzab-d02,rocky-8.10-64bit,16,32,PostgreSQL 16.9,-,-,10.48.222.15,-,-,HDD,50 GB,HDD,20 GB,ISCSI,2.3 TB,HA,A-S,4.18.0-553.69.1.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
176,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-d02-rocky,Stop,172.27.1.38,10.48.219.91,ys-jpt-prd-gzab-d02-new,ys-jpt-prd-gzab-d02,rocky-8.10-64bit,16,32,PostgreSQL 13.5,-,-,10.48.222.27,-,-,HDD,50 GB,HDD,20 GB,ISCSI,2.3 TB,HA,A-S,4.18.0-553.el8_10.x86_64,MCCS 4.4.14,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
177,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-p01-rocky,Running,172.27.1.39,10.48.219.76,ys-jpt-prd-gzab-p01,ys-jpt-prd-gzab-p01,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.48.222.17,-,172.27.1.104,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
178,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-p02-rocky,Running,172.27.1.74,10.48.219.77,ys-jpt-prd-gzab-p02,ys-jpt-prd-gzab-p02,rocky-8.10-64bit,8,8,-,-,-,10.48.222.18,-,-,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
179,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-p03-rocky,Running,172.27.1.55,10.48.219.78,ys-jpt-prd-gzab-p03,ys-jpt-prd-gzab-p03,rocky-8.10-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.48.222.21,-,172.27.1.105,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
180,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-p04-rocky,Running,172.27.1.52,10.48.219.79,ys-jpt-prd-gzab-p04,ys-jpt-prd-gzab-p04,rocky-8.10-64bit,8,8,-,-,-,10.48.222.22,-,-,HDD,50 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
181,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-pd01-new,Running,172.27.1.58,10.48.219.80,ys-jpt-prd-gzab-pd01,ys-jpt-prd-gzab-pd01,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,10.48.222.19,-,172.27.1.106,HDD,50 GB,HDD,20 GB,ISCSI,150 GB,HA,A-S,4.18.0-553.69.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
182,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-pd01-rocky,Stop,172.27.1.4,-,-,-,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
183,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-pd02-new,Running,172.27.1.86,10.48.219.81,ys-jpt-prd-gzab-pd02,ys-jpt-prd-gzab-pd02,rocky-8.10-64bit,8,16,PostgreSQL 16.9,-,-,10.48.222.25,-,-,HDD,50 GB,HDD,20 GB,ISCSI,150 GB,HA,A-S,4.18.0-553.69.1.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
184,LUPPITER(ZABBIX),공공(EPC),운영(PRD),미사용,용산,MGMT-G-YS-YS1,-,-,-,DB,　,ys-jpt-prd-gzab-pd02-rocky,Stop,172.27.1.47,-,-,-,rocky-8.10-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
185,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,AP,　,ys-jpt-prd-gzab-repo-a01,Running,172.27.1.64,-,-,-,rocky-8.10-64bit,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
186,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,WEB,　,ys-jpt-prd-gzab-w01-rocky,Running,172.27.0.76,10.48.219.70,ys-jpt-prd-gzab-w01,ys-jpt-prd-gzab-w01,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,Python 3.6.8,Disabled,firewalld,O,O,O,O
187,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,WEB,　,ys-jpt-prd-gzab-w02-rocky,Running,172.27.0.82,10.48.219.71,ys-jpt-prd-gzab-w02,ys-jpt-prd-gzab-w02,rocky-8.10-64bit,4,8,-,Apache/2.4.63,-,-,-,-,HDD,50 GB,HDD,70 GB,-,-,LB,A-A,4.18.0-553.el8_10.x86_64,-,-,Python 3.6.8,Disabled,firewalld,O,O,O,O
188,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,LB,　,ys-jpt-prd-hap-a01-rocky,Running,172.27.0.73,10.48.219.68,ys-jpt-prd-hap-a01,ys-jpt-prd-hap-a01,rocky-8.10-64bit,4,4,-,-,HAProxy version 2.6.1,-,-,172.27.0.101,HDD,50 GB,HDD,70 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
189,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS1,-,-,-,LB,　,ys-jpt-prd-hap-a02-rocky,Running,172.27.0.18,10.48.219.69,ys-jpt-prd-hap-a02,ys-jpt-prd-hap-a02,rocky-8.10-64bit,4,4,-,-,HAProxy version 2.6.1,-,-,-,HDD,50 GB,HDD,70 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
190,LUPPITER(ZABBIX),공공(EPC),테스트,미사용,용산,MGMT-G-YS-YS2,-,-,-,AP,　,test-lvm-os2,Stop,172.27.0.35,-,-,-,rocky-8.10-64bit,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
191,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS2,-,-,-,AP,　,ys-jpt-prd-url-p01,Running,10.48.224.137,-,ys-jpt-prd-url-p01,ys-jpt-prd-url-p01,rocky-8.10-64bit,8,8,sqlite-3.26.0-19,-,zabbix_proxy 7.0.3,-,-,10.48.224.140,HDD,50 GB,HDD,100 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
192,LUPPITER(ZABBIX),공공(EPC),운영(PRD),사용,용산,MGMT-G-YS-YS2,-,-,-,AP,　,ys-jpt-prd-url-p02,Running,10.48.224.147,-,ys-jpt-prd-url-p02,ys-jpt-prd-url-p02,rocky-8.10-64bit,8,8,sqlite-3.26.0-19,-,zabbix_proxy 7.0.3,-,-,-,HDD,50 GB,HDD,100 GB,-,-,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
193,LUPPITER(ZABBIX),공공(EPC),테스트,미사용,용산,MGMT-G-YS-YS2,-,-,-,AP,　,ys-jpt-prd-url-test,Stop,10.48.224.132,-,-,-,rocky-8.10-64bit,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
194,COA,KT사내(IPC),개발(DEV),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode01,10.0.1.136,AP/DB,　,dev-coa,Running,10.0.1.144,-,dev-coa,dev-coa,centos-6.3-64bit,8,16,Mysql 14.14,Apache/2.2.15,-,-,10.217.17.109,-,-,107.4 GB,-,"107.4 GB
214.7 GB
214.7 GB",-,-,　,　,2.6.32-279.el6.x86_64,-,-,Python 2.7.9,Disabled,사용안함,O,　,O,　
195,COA,KT사내(IPC),운영(PRD),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode05,10.0.1.140,AP/DB,　,hub,Running,10.0.1.253,-,hub,hub,centos-6.2-64bit,8,16,Mysql 14.14,Apache/2.2.15,-,-,10.217.17.252,-,-,107.4 GB,-,"53.7 GB
53.7 GB
107.4 GB
214.7 GB
214.7 GB",-,-,　,　,2.6.32-431.11.2.el6.x86_64,-,-,Python 2.7.9,Disabled,사용안함,O,　,O,　
196,HERA,KT사내(IPC),개발(DEV),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode07,10.0.1.142,AP,　,m1-hera-apigw-a03,Running,10.0.1.36,-,m1-hera-apigw-a03,m1-hera-apigw-a03,rocky-8.10-64bit,4,8,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,"20 GB
50 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
197,HERA,KT사내(IPC),개발(DEV),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode01,10.0.1.136,AP,　,m1-hera-apigw-b03,Running,10.0.1.37,-,m1-hera-apigw-b03,m1-hera-apigw-b03,rocky-8.10-64bit,16,32,-,-,"JAR_FILE: batch_runner-0.0.1-SNAPSHOT.jar
Spring Boot Version: 3.3.5",-,-,-,SSD,32 GB,SSD,"20 GB
50 GB
20 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
198,HERA,KT사내(IPC),개발(DEV),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode07,10.0.1.142,DB,　,m1-hera-apigw-d03,Running,10.0.1.38,-,m1-hera-apigw-d03,m1-hera-apigw-d03,rocky-8.10-64bit,8,16,Mariadb 11.4.4,-,-,-,-,-,SSD,32 GB,SSD,"20 GB
150 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,-,Disabled,firewalld,O,O,O,X
199,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode02,10.0.1.137,AP,　,m1-hera-apigw-stg-a03,Running,10.0.1.112,-,m1-hera-apigw-stg-a03,m1-hera-apigw-stg-a03,rocky-8.10-64bit,8,16,-,-,-,3.1.16.147,-,10.0.1.118,SSD,32 GB,SSD,100 GB,ISCSI,400 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,사용안함,O,O,O,X
200,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode03,10.0.1.138,AP,　,m1-hera-apigw-stg-a04,Running,10.0.1.113,-,m1-hera-apigw-stg-a04,m1-hera-apigw-stg-a04,rocky-8.10-64bit,8,16,-,-,-,3.1.16.148,-,-,SSD,32 GB,SSD,100 GB,ISCSI,400 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
201,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode02,10.0.1.137,AP,　,m1-hera-apigw-stg-b03,Running,10.0.1.114,-,m1-hera-apigw-stg-b03,m1-hera-apigw-stg-b03,rocky-8.10-64bit,16,32,-,-,-,3.1.16.149,-,10.0.1.119,SSD,32 GB,SSD,"100 GB
20 GB",ISCSI,400 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
202,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode06,10.0.1.141,AP,　,m1-hera-apigw-stg-b04,Running,10.0.1.115,-,m1-hera-apigw-stg-b04,m1-hera-apigw-stg-b04,rocky-8.10-64bit,16,32,-,-,-,3.1.16.150,-,-,SSD,32 GB,SSD,"100 GB
20 GB",ISCSI,400 GB,　,　,4.18.0-553.el8_10.x86_64,-,"openjdk version ""17.0.11""",Python 3.11.7,Disabled,firewalld,O,O,O,X
